App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Tiny Photo Editor 8,GAME,4.0,732,30M,"5,000+",Free,0,Everyone,Action,"April 3, 2017",Varies with device,4.1 and up
Magic Dictionary,TRAVEL_AND_LOCAL,3.9,12k,2.7M,"500,000+",Paid,$9.99,Everyone,Travel & Local,"May 15, 2018",2.8.6,4.1 and up
Ultimate Flashlight 9,ART_AND_DESIGN,5.0,93817,10.0M,"1,000,000+",Free,0,Everyone,Art & Design,"August 22, 2017",7.18.6,4.0.3 and up
Pixel Dictionary 2,BUSINESS,3.6,1.5M,100M,"50,000,000+",Free,0,Everyone,Business,"July 11, 2018",1.7.2,4.4 and up
Bright VPN,EDUCATION,,4,21M,500+,Free,0,Everyone,Education,"October 5, 2016",8.11.7,4.0.3 and up
Ultimate Photo Editor,HEALTH_AND_FITNESS,4.3,135,3.6M,"5,000+",Free,0,Everyone,Health & Fitness,"October 27, 2016",6.17.4,4.1 and up
Smart Wallpapers,EDUCATION,4.7,2.1k,34M,"100,000+",Free,0,Mature 17+,Education,"May 22, 2018",1.0.6,Varies with device
Happy Flashlight,MEDICAL,4.3,549,Varies with device,"50,000+",Free,0,Everyone,Medical,"September 7, 2017",6.16.7,4.4 and up
Fast Diet Tracker 7,ENTERTAINMENT,3.6,2k,8.8M,"50,000+",Free,0,Teen,Entertainment,"January 13, 2018",8.15.3,4.4 and up
Free Photo Editor 16,HEALTH_AND_FITNESS,3.3,1.8k,Varies with device,"50,000+",Free,0,Everyone,Health & Fitness,"April 12, 2018",6.4.4,5.0 and up
Super Workout,LIFESTYLE,4.6,2k,3.1M,"100,000+",Free,0,Everyone,Lifestyle,"June 18, 2017",4.0.5,4.1 and up
Cool Photo Editor,TRAVEL_AND_LOCAL,4.2,24k,4.9M,"500,000+",Free,0,Everyone,Travel & Local,,2.19.4,4.1 and up
Secure Workout,SHOPPING,4.2,2k,Varies with device,"100,000+",Free,0,Everyone,Shopping,"July 29, 2017",2.13.1,4.4 and up
Fast Translator,HEALTH_AND_FITNESS,4.1,3,20M,100+,Free,0,Everyone,Health & Fitness,"September 15, 2016",7.18.4,Varies with device
Star VPN,HEALTH_AND_FITNESS,4.2,49.4k,36M,"5,000,000+",Free,0,Everyone,Health & Fitness,"July 31, 2018",7.1.7,4.4 and up
Free Scanner 17,MAPS_AND_NAVIGATION,4.8,21164,8.2M,"500,000+",Free,0,Everyone,Maps & Navigation,"February 17, 2018",Varies with device,4.0.3 and up
Daily Maps,SHOPPING,4.6,8,14M,500+,Free,0,Teen,Shopping,"February 26, 2017",5.1.4,4.1 and up
Quick Puzzle,HEALTH_AND_FITNESS,4.6,21,22M,"1,000+",Free,0,Teen,Health & Fitness,"September 29, 2016",3.13.3,4.0.3 and up
Tiny Calendar,MEDICAL,4.7,24,14M,500+,Free,0,Everyone,Medical,"August 2, 2018",4.12.1,4.4 and up
Tiny Coloring Book 11,EDUCATION,,7070,12M,"500,000+",Free,0,Everyone,Education,"April 7, 2017",6.12.2,4.0.3 and up
Star Workout 6,LIFESTYLE,3.4,938,Varies with device,"10,000+",Free,0,Everyone,Lifestyle,"September 15, 2016",4.16.3,4.1 and up
Star Recipes,SPORTS,4.2,1660,19M,"100,000+",Free,0,Everyone,Sports,"May 17, 2018",8.9.3,4.4 and up
Tiny Wallpapers,TRAVEL_AND_LOCAL,4.4,4,12M,500+,Free,0,Everyone,Travel & Local,"March 14, 2018",7.8.8,Varies with device
Magic Diet Tracker 13,BOOKS_AND_REFERENCE,3.4,629,5.0M,"10,000+",Free,0,Everyone,Books & Reference,"September 20, 2017",4.1.5,4.4 and up
Tiny Keyboard,SPORTS,5.0,649,4.3M,"50,000+",Free,0,Everyone,Sports,"May 24, 2017",Varies with device,4.0.3 and up
Pixel Translator,TRAVEL_AND_LOCAL,,0,43M,1+,Free,0,Everyone,Travel & Local,"April 6, 2017",4.7.8,4.0.3 and up
Tiny Chess,EDUCATION,4.1,11,8.0M,500+,Free,0,Everyone,Education,"April 19, 2018",2.16.5,5.0 and up
Star Workout,MEDICAL,5.0,74783,Varies with device,"5,000,000+",Free,0,Everyone,Medical,"May 9, 2018",4.4.7,4.0.3 and up
Smart Weather,BOOKS_AND_REFERENCE,3.4,7660,10M,"100,000+",Paid,$9.99,Everyone,Books & Reference,"July 7, 2018",8.11.5,5.0 and up
Secure Radio,ART_AND_DESIGN,5.0,51.0k,Varies with device,"5,000,000+",Free,0,Everyone,Art & Design,"January 20, 2017",3.10.0,Varies with device
Mini Coloring Book,FINANCE,4.6,658,Varies with device,"50,000+",Free,0,Everyone,Finance,"February 6, 2017",3.19.6,5.0 and up
Fast Budget,ENTERTAINMENT,4.1,15086,100M,"500,000+",Free,0,Everyone,Entertainment,"July 24, 2018",1.10.6,4.4 and up
Free Maps,BOOKS_AND_REFERENCE,5.0,30,11M,500+,Free,0,Everyone,Books & Reference,"April 27, 2017",4.0.5,Varies with device
Easy Translator 13,PRODUCTIVITY,3.7,635,8.5M,"10,000+",Free,0,Everyone,Productivity,"February 23, 2018",5.2.2,4.1 and up
Pixel Keyboard,SHOPPING,4.3,461,12M,"5,000+",Free,0,Teen,Shopping,"August 23, 2017",8.17.1,5.0 and up
Ultimate Flashlight 18,BOOKS_AND_REFERENCE,4.3,473.1k,10M,"10,000,000+",Free,0,Everyone,Books & Reference,"December 7, 2017",2.2.0,4.1 and up
Happy Maps 2,HEALTH_AND_FITNESS,4.7,2752,16M,"50,000+",Free,0,Everyone,Health & Fitness,"July 3, 2018",2.16.8,5.0 and up
Star Weather,BOOKS_AND_REFERENCE,4.1,22684,8.5M,"1,000,000+",Paid,$4.99,Teen,Books & Reference,"December 31, 2017",7.10.5,Varies with device
Ultimate Flashlight,PHOTOGRAPHY,3.6,22,17M,500+,Free,0,Everyone,Photography,"April 20, 2018",3.11.2,Varies with device
Smart Radio,ART_AND_DESIGN,,9,Varies with device,500+,Free,0,Everyone,Art & Design,"November 25, 2016",Varies with device,Varies with device
Tiny Wallpapers 14,PRODUCTIVITY,3.8,1078,10M,"50,000+",Free,0,Everyone,Productivity,"October 2, 2017",2.1.7,Varies with device
Pro Flashlight,FINANCE,4.2,2370,20M,"50,000+",Free,0,Mature 17+,Finance,"June 22, 2017",3.14.0,4.4 and up
Happy VPN,HEALTH_AND_FITNESS,3.7,619,10M,"50,000+",Free,0,Everyone,Health & Fitness,"August 17, 2017",Varies with device,4.0.3 and up
Pixel Launcher 5,TOOLS,4.0,96,12M,"5,000+",Free,0,Mature 17+,Tools,"May 23, 2015",8.2.1,4.4 and up
Magic Coloring Book 17,HEALTH_AND_FITNESS,,6.4k,15M,"50,000+",Free,0,Mature 17+,Health & Fitness,"January 13, 2018",Varies with device,Varies with device
Easy Launcher 7,FINANCE,4.4,243534,15M,"10,000,000+",Free,0,Mature 17+,Finance,"March 17, 2018",7.11.7,4.0.3 and up
Pocket Scanner,MAPS_AND_NAVIGATION,3.7,0,7.0M,1+,Free,0,Everyone 10+,Maps & Navigation,"July 27, 2017",Varies with device,4.4 and up
Fast Launcher,PRODUCTIVITY,3.6,16400,100M,"500,000+",Free,0,Everyone,Productivity,"April 27, 2018",6.3.3,4.4 and up
Cool Notes,PRODUCTIVITY,4.9,1255,3.3M,"50,000+",Free,0,Everyone,Productivity,"October 18, 2017",6.14.7,4.4 and up
Pro Wallpapers,BOOKS_AND_REFERENCE,4.1,20662,20M,"500,000+",Free,0,Teen,Books & Reference,"August 22, 2017",7.0.4,4.1 and up
Star VPN,FAMILY,,3,7.3M,50+,Free,0,Everyone,Casual,"August 23, 2016",3.13.0,4.0.3 and up
Free Wallpapers,COMMUNICATION,4.6,4.9k,4.3M,"500,000+",Free,0,Everyone,Communication,"January 1, 2016",6.14.3,4.1 and up
Secure Budget,SPORTS,4.3,340324,32M,"10,000,000+",Free,0,Teen,Sports,"May 27, 2018",2.3.1,4.1 and up
Fast Diet Tracker,PHOTOGRAPHY,4.0,930,2.4M,"10,000+",Free,0,Everyone,Photography,"June 13, 2018",Varies with device,4.4 and up
Easy VPN,ART_AND_DESIGN,4.3,2168,2.8M,"50,000+",Free,0,Mature 17+,Art & Design,"April 11, 2018",6.11.1,5.0 and up
Pocket Translator,MAPS_AND_NAVIGATION,4.2,3,25M,50+,Free,0,Everyone 10+,Maps & Navigation,"February 14, 2018",Varies with device,5.0 and up
Mini Messenger,EDUCATION,,639829,22M,"10,000,000+",Free,0,Teen,Education,"August 18, 2015",7.13.7,4.4 and up
Pro Diet Tracker 9,LIFESTYLE,,17,26M,500+,Paid,$1.99,Everyone,Lifestyle,"July 14, 2018",1.0.5,5.0 and up
Easy Launcher 5,SPORTS,4.0,186,Varies with device,"10,000+",Free,0,Everyone,Sports,"January 9, 2016",8.14.1,5.0 and up
Mini Workout 5,MAPS_AND_NAVIGATION,4.7,247,11M,"5,000+",Free,0,Everyone,Maps & Navigation,"January 2, 2018",3.1.9,5.0 and up
Quick Weather,HEALTH_AND_FITNESS,4.2,4356,17M,"100,000+",Free,0,Everyone,Health & Fitness,"November 22, 2017",4.19.9,Varies with device
Magic Notes,GAME,,779,16M,"5,000+",Free,0,Everyone,Action,"November 6, 2017",Varies with device,4.0.3 and up
Free Wallpapers,ENTERTAINMENT,4.1,5,19M,500+,Free,0,Everyone,Entertainment,"February 16, 2018",1.5.0,4.1 and up
Bright Launcher,LIFESTYLE,,146432,30M,"5,000,000+",Free,0,Everyone,Lifestyle,"June 27, 2017",7.18.9,4.1 and up
Pixel Photo Editor,EDUCATION,5.0,111k,4.4M,"1,000,000+",Free,0,Everyone,Education,"December 24, 2017",Varies with device,5.0 and up
Secure Music Player,EDUCATION,4.9,313,24M,"10,000+",Free,0,Everyone,Education,"November 12, 2017",2.19.1,5.0 and up
Happy Dictionary,TOOLS,4.1,855,4.6M,"50,000+",Free,0,Everyone,Tools,"November 15, 2017",3.11.7,4.1 and up
Simple Messenger,PHOTOGRAPHY,3.7,19078,12M,"500,000+",Free,0,Everyone,Photography,"May 19, 2018",Varies with device,5.0 and up
Tiny Maps,EDUCATION,,1.5M,4.3M,"50,000,000+",Free,0,Everyone,Education,"May 28, 2018",7.13.5,4.4 and up
Magic Radio 3,LIFESTYLE,4.8,854,9.5M,"10,000+",Free,0,Everyone,Lifestyle,"April 19, 2018",4.7.7,Varies with device
Free VPN 15,EDUCATION,4.0,42.9k,5.2M,"1,000,000+",Free,0,Everyone,Education,"April 3, 2016",Varies with device,4.0.3 and up
Pixel Keyboard,HEALTH_AND_FITNESS,,13,7.6M,500+,Paid,$2.99,Teen,Health & Fitness,"December 10, 2016",1.8.7,5.0 and up
Free Flashlight,TOOLS,3.8,504,21M,"50,000+",Free,0,Everyone,Tools,"March 18, 2018",5.13.1,Varies with device
Tiny Dictionary,ART_AND_DESIGN,5.0,482k,4.5M,"10,000,000+",Free,0,Everyone,Art & Design,"December 13, 2016",2.7.0,Varies with device
Tiny Messenger 12,FAMILY,3.7,433,3.7M,"5,000+",Free,0,Teen,Casual,"May 30, 2016",Varies with device,4.0.3 and up
Happy Wallpapers,LIFESTYLE,4.3,279,17M,"10,000+",Free,0,Everyone 10+,Lifestyle,"December 2, 2016",5.3.3,4.1 and up
Free Chess,FINANCE,4.7,20427,17M,"500,000+",Free,0,Teen,Finance,"October 17, 2016",8.10.5,4.0.3 and up
Simple Weather 6,COMMUNICATION,4.2,2036,62M,"50,000+",Paid,$9.99,Everyone,Communication,"March 21, 2015",5.15.2,5.0 and up
Smart Workout,PRODUCTIVITY,4.4,23k,3.2M,"1,000,000+",Free,0,Everyone,Productivity,"August 7, 2017",8.1.4,4.0.3 and up
Super Launcher,MAPS_AND_NAVIGATION,4.1,101,3.5M,"5,000+",Free,0,Everyone,Maps & Navigation,"September 16, 2017",6.2.8,4.1 and up
Tiny Keyboard,MAPS_AND_NAVIGATION,3.5,1.8k,Varies with device,"50,000+",Free,0,Everyone,Maps & Navigation,"April 17, 2018",6.7.6,4.0.3 and up
Cool Launcher 18,COMMUNICATION,3.4,44,7.5M,"5,000+",Free,0,Teen,Communication,"February 15, 2018",8.12.3,Varies with device
Magic Diet Tracker,COMMUNICATION,4.4,533,6.8M,"5,000+",Free,0,Teen,Communication,"June 28, 2016",8.8.6,4.0.3 and up
Secure Flashlight,PHOTOGRAPHY,3.8,0,3.0M,1+,Free,0,Everyone,Photography,"July 8, 2018",8.18.8,Varies with device
Bright Diet Tracker,ENTERTAINMENT,4.2,11149,11M,"500,000+",Free,0,Everyone,Entertainment,"June 2, 2018",Varies with device,Varies with device
Super Puzzle,MAPS_AND_NAVIGATION,5.0,3179,Varies with device,"50,000+",Free,0,Everyone,Maps & Navigation,"March 18, 2017",6.15.0,4.4 and up
Cool Recipes 16,EDUCATION,4.1,0,4.7M,1+,Free,0,Everyone,Education,"February 15, 2017",8.11.7,Varies with device
Daily Workout,FINANCE,4.3,761,50M,"50,000+",Free,0,Teen,Finance,"December 26, 2017",3.3.5,4.0.3 and up
Cool Chess,TRAVEL_AND_LOCAL,4.2,2852,48M,"50,000+",Free,0,Everyone,Travel & Local,"July 8, 2018",8.4.2,4.0.3 and up
Free Calendar,SOCIAL,4.5,44736,5.2M,"5,000,000+",Free,0,Teen,Social,"October 27, 2015",3.13.2,4.4 and up
Magic Photo Editor,PRODUCTIVITY,4.4,377,18M,"50,000+",Free,0,Everyone 10+,Productivity,"December 19, 2016",6.4.9,4.1 and up
Happy Weather 9,TOOLS,4.4,13495,Varies with device,"1,000,000+",Free,0,Everyone,Tools,"January 2, 2018",Varies with device,4.4 and up
Bright Bible 13,MAPS_AND_NAVIGATION,,6,8.7M,500+,Free,0,Everyone,Maps & Navigation,"November 19, 2017",1.1.2,4.0.3 and up
Pocket Scanner 17,FINANCE,4.3,1518,12M,"100,000+",Paid,$0.99,Everyone 10+,Finance,"June 22, 2018",2.7.8,4.0.3 and up
Fast Workout,BUSINESS,3.8,177905,12M,"10,000,000+",Free,0,Everyone,Business,"April 11, 2018",8.10.4,4.1 and up
Happy Translator 12,GAME,4.3,943,9.8M,"50,000+",Free,0,Everyone,Action,"July 11, 2017",7.11.2,4.1 and up
Easy Bible 13,FINANCE,4.1,498833,9.1M,"50,000,000+",Free,0,Everyone,Finance,"April 6, 2017",1.15.9,4.4 and up
Pixel Scanner,ENTERTAINMENT,3.4,2347,2.9M,"50,000+",Free,0,Everyone,Entertainment,"February 20, 2018",4.8.6,4.0.3 and up
Quick Launcher,LIFESTYLE,4.2,399408,7.9M,"10,000,000+",Free,0,Everyone,Lifestyle,"April 11, 2017",5.11.7,4.4 and up
Cool Coloring Book 10,MAPS_AND_NAVIGATION,,12,2.5M,500+,Free,0,Everyone,Maps & Navigation,"April 16, 2018",8.11.3,5.0 and up
Cool Workout 12,MAPS_AND_NAVIGATION,3.2,724,48M,"50,000+",Free,0,Everyone,Maps & Navigation,"December 24, 2017",8.17.7,5.0 and up
Ultimate Bible,BUSINESS,3.8,22,39M,500+,Free,0,Everyone,Business,"May 4, 2018",3.16.8,4.0.3 and up
Mini Maps,TRAVEL_AND_LOCAL,4.7,5699,13M,"50,000+",Free,0,Everyone,Travel & Local,"February 11, 2018",Varies with device,Varies with device
Star Bible,PRODUCTIVITY,4.6,302,15M,"10,000+",Free,0,Everyone 10+,Productivity,"November 18, 2017",4.6.3,4.4 and up
Pro Keyboard,ENTERTAINMENT,3.7,584,6.6M,"5,000+",Free,0,Everyone,Entertainment,"February 23, 2017",8.5.9,Varies with device
Star Coloring Book,PHOTOGRAPHY,4.2,5756,103k,"500,000+",Free,0,Teen,Photography,"May 27, 2018",1.14.7,Varies with device
Simple Scanner,ENTERTAINMENT,,14,12M,500+,Free,0,Everyone,Entertainment,"November 2, 2016",7.1.4,5.0 and up
Daily Recipes,PRODUCTIVITY,4.3,156,14M,"10,000+",Free,0,Mature 17+,Productivity,"October 15, 2016",8.7.0,4.1 and up
Happy Calendar,COMMUNICATION,3.4,2005,16M,"100,000+",Free,0,Everyone,Communication,"June 13, 2018",4.16.5,Varies with device
Tiny VPN,PRODUCTIVITY,3.4,42,21M,"1,000+",Free,0,Everyone 10+,Productivity,"June 30, 2018",2.12.4,4.1 and up
Super Maps,SPORTS,4.0,213,9.9M,"10,000+",Paid,$0.99,Everyone,Sports,"June 21, 2018",Varies with device,Varies with device
Free Chess,MEDICAL,4.8,99,21M,"5,000+",Paid,$4.99,Mature 17+,Medical,"September 15, 2016",2.10.9,4.1 and up
Quick Recipes,PRODUCTIVITY,4.1,434,6.6M,"50,000+",Free,0,Mature 17+,Productivity,"January 24, 2018",3.9.7,4.4 and up
Easy Dictionary,MAPS_AND_NAVIGATION,3.7,7160,10M,"500,000+",Free,0,Mature 17+,Maps & Navigation,"July 30, 2018",3.7.0,4.1 and up
Ultimate Workout,GAME,4.7,420,27M,"10,000+",Free,0,Everyone,Action,"April 18, 2018",3.4.1,4.1 and up
Cool Music Player,BUSINESS,3.7,3,79M,500+,Free,0,Everyone,Business,"August 11, 2016",6.12.4,Varies with device
Pixel Launcher,EDUCATION,3.8,67,19M,"5,000+",Free,0,Everyone,Education,"February 20, 2017",Varies with device,Varies with device
Easy Radio,HEALTH_AND_FITNESS,4.2,692,Varies with device,"10,000+",Free,0,Everyone,Health & Fitness,"January 20, 2018",3.10.3,4.0.3 and up
Easy Wallpapers,TRAVEL_AND_LOCAL,4.6,144,30M,"10,000+",Free,0,Everyone,Travel & Local,"December 22, 2017",2.17.5,Varies with device
Quick Flashlight,PRODUCTIVITY,4.1,113,34M,"5,000+",Free,0,Everyone,Productivity,"February 18, 2018",7.12.8,5.0 and up
Easy Dictionary,EDUCATION,4.2,429,Varies with device,"10,000+",Free,0,Everyone,Education,"November 28, 2016",Varies with device,4.1 and up
Happy Recipes,SOCIAL,4.3,10837,8.3M,"500,000+",Free,0,Everyone,Social,,2.2.0,4.1 and up
Daily Dictionary,EDUCATION,4.0,78,17M,"5,000+",Free,0,Everyone,Education,"June 2, 2017",3.15.6,4.0.3 and up
Cool Workout,TOOLS,4.1,135,Varies with device,"5,000+",Free,0,Everyone,Tools,"January 3, 2018",Varies with device,4.4 and up
Quick Recipes 3,TOOLS,4.4,460,21M,"5,000+",Free,0,Everyone,Tools,"July 10, 2018",1.7.9,4.0.3 and up
Pro Workout 15,GAME,3.6,44.7k,Varies with device,"5,000,000+",Paid,$2.99,Everyone,Action,"April 30, 2018",Varies with device,4.0.3 and up
Bright Dictionary,ART_AND_DESIGN,4.0,12k,13M,"500,000+",Free,0,Everyone,Art & Design,"April 13, 2016",4.9.3,5.0 and up
Star Recipes,ENTERTAINMENT,4.5,34k,19M,"500,000+",Free,0,Everyone,Entertainment,"June 2, 2018",5.3.7,4.0.3 and up
Secure Translator,SPORTS,,717,8.2M,"10,000+",Paid,$2.99,Everyone,Sports,"May 12, 2018",2.13.0,4.4 and up
Star VPN,SHOPPING,4.5,13402,22M,"500,000+",Free,0,Everyone,Shopping,"June 19, 2018",6.8.2,Varies with device
Easy Coloring Book,FINANCE,3.9,53911,740k,"1,000,000+",Free,0,Everyone,Finance,"February 24, 2018",1.7.6,5.0 and up
Magic Wallpapers,MAPS_AND_NAVIGATION,4.2,0,2.7M,1+,Free,0,Everyone,Maps & Navigation,"July 16, 2018",6.1.9,4.4 and up
Daily Dictionary,SPORTS,4.2,483,36M,"10,000+",Free,0,Everyone,Sports,"January 28, 2018",1.8.1,5.0 and up
Star Bible 6,BUSINESS,4.1,18k,32M,"1,000,000+",Free,0,Everyone,Business,"January 8, 2016",Varies with device,4.4 and up
Tiny Music Player,SPORTS,4.3,2.3k,6.6M,"100,000+",Free,0,Everyone,Sports,"May 13, 2018",5.6.5,5.0 and up
Pixel Chess,BUSINESS,3.5,142,Varies with device,"5,000+",Free,0,Everyone,Business,"February 8, 2018",8.18.6,5.0 and up
Pro Photo Editor,ART_AND_DESIGN,4.8,0,21M,1+,Paid,$4.99,Everyone,Art & Design,"May 14, 2017",Varies with device,4.0.3 and up
Cool Recipes 17,MAPS_AND_NAVIGATION,3.9,1970,16M,"50,000+",Paid,$2.99,Teen,Maps & Navigation,"August 30, 2017",5.3.7,4.0.3 and up
Quick Coloring Book,TOOLS,4.2,77,6.2M,"5,000+",Free,0,Everyone,Tools,"July 6, 2016",4.16.7,4.1 and up
Tiny Launcher,MEDICAL,3.5,1899,8.0M,"100,000+",Paid,$0.99,Everyone,Medical,"December 16, 2017",3.0.3,Varies with device
Secure Chess 9,FINANCE,,19,4.9M,"1,000+",Free,0,Everyone,Finance,"January 19, 2018",3.19.7,Varies with device
Simple Coloring Book 17,HEALTH_AND_FITNESS,5.0,538,1.8M,"10,000+",Free,0,Everyone,Health & Fitness,"July 21, 2018",6.16.2,4.4 and up
Super Bible,LIFESTYLE,3.9,65,25M,"1,000+",Free,0,Everyone,Lifestyle,"July 20, 2018",7.1.6,Varies with device
Pocket Radio,TOOLS,,4779,9.4M,"500,000+",Free,0,Teen,Tools,"November 10, 2017",1.10.7,4.4 and up
Pro Calendar,EDUCATION,,2872,17M,"100,000+",Free,0,Everyone,Education,"August 1, 2018",2.15.1,Varies with device
Secure Bible 9,COMMUNICATION,3.5,1593,20M,"50,000+",Free,0,Everyone,Communication,"February 5, 2016",7.13.2,4.0.3 and up
Magic Diet Tracker,BOOKS_AND_REFERENCE,4.1,12295,15M,"500,000+",Free,0,Everyone,Books & Reference,"December 17, 2017",7.9.9,5.0 and up
Tiny Calendar,GAME,3.6,132886,100M,"5,000,000+",Free,0,Everyone,Action,"January 8, 2018",8.19.0,4.4 and up
Secure Coloring Book 17,HEALTH_AND_FITNESS,3.8,43109,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,"November 28, 2017",5.0.5,4.1 and up
Easy Keyboard,FAMILY,4.6,292,Varies with device,"10,000+",Paid,$2.99,Everyone,Casual,"July 7, 2018",7.3.1,5.0 and up
Quick Launcher,FAMILY,4.7,488,9.1M,"50,000+",Free,0,Everyone,Casual,"October 9, 2017",6.15.5,4.1 and up
Cool Flashlight 8,SOCIAL,,224,4.8M,"5,000+",Free,0,Everyone,Social,"June 30, 2016",7.17.2,Varies with device
Ultimate Bible,ART_AND_DESIGN,4.5,29,4.3M,"1,000+",Free,0,Everyone,Art & Design,"July 15, 2018",7.2.9,Varies with device
Star Weather,BUSINESS,3.8,3651,25M,"100,000+",Free,0,Everyone,Business,"July 6, 2017",5.2.5,4.4 and up
Star Bible,FINANCE,,4344,67M,"100,000+",Free,0,Everyone,Finance,"March 7, 2017",2.17.2,5.0 and up
Pocket Recipes,SPORTS,4.2,12k,4.6M,"500,000+",Free,0,Everyone,Sports,"January 10, 2017",6.10.6,Varies with device
Happy Notes,COMMUNICATION,4.3,25,30M,"1,000+",Free,0,Teen,Communication,"March 21, 2018",3.18.6,5.0 and up
Smart Bible,HEALTH_AND_FITNESS,4.3,12,Varies with device,500+,Free,0,Everyone,Health & Fitness,"June 16, 2017",Varies with device,4.1 and up
Magic Dictionary,EDUCATION,,74,29M,"5,000+",Free,0,Everyone,Education,,5.19.6,5.0 and up
Pocket Flashlight,EDUCATION,4.6,1291,9.9M,"50,000+",Free,0,Mature 17+,Education,"April 6, 2018",7.13.2,Varies with device
Smart Scanner 3,SOCIAL,4.1,87,7.7M,"5,000+",Free,0,Everyone,Social,"January 28, 2018",Varies with device,Varies with device
Bright Keyboard,FAMILY,,16,27M,500+,Free,0,Everyone,Casual,"April 17, 2017",3.12.7,4.0.3 and up
Happy Dictionary,LIFESTYLE,4.1,678,Varies with device,"50,000+",Free,0,Teen,Lifestyle,"July 18, 2017",6.8.9,4.1 and up
Star Keyboard,LIFESTYLE,4.4,3273,7.6M,"50,000+",Free,0,Everyone,Lifestyle,"July 5, 2017",2.16.0,4.4 and up
Mini Recipes,BUSINESS,4.0,563,8.4M,"50,000+",Free,0,Everyone,Business,"August 9, 2017",4.11.8,5.0 and up
Quick Wallpapers,MEDICAL,3.2,222,9.5M,"5,000+",Free,0,Everyone 10+,Medical,"January 4, 2018",4.17.4,Varies with device
Cool Budget,ENTERTAINMENT,4.3,29,Varies with device,"1,000+",Free,0,Everyone,Entertainment,"November 22, 2016",3.13.7,5.0 and up
Pixel Maps,SOCIAL,3.7,5326,14M,"500,000+",Free,0,Everyone,Social,"January 26, 2017",8.19.9,Varies with device
Easy Calendar,BOOKS_AND_REFERENCE,4.6,152,3.5M,"10,000+",Free,0,Teen,Books & Reference,"June 20, 2018",1.16.0,4.4 and up
Bright Chess,FAMILY,3.9,44,12M,"5,000+",Free,0,Everyone,Casual,"June 13, 2016",6.5.4,Varies with device
Bright Flashlight,BOOKS_AND_REFERENCE,3.8,2k,33M,"100,000+",Free,0,Everyone,Books & Reference,"June 25, 2018",Varies with device,5.0 and up
Quick Puzzle,PHOTOGRAPHY,4.3,363,10M,"5,000+",Free,0,Everyone,Photography,"January 31, 2018",2.16.7,5.0 and up
Tiny Translator 9,SPORTS,4.0,5,15M,100+,Free,0,Everyone,Sports,"June 28, 2018",4.14.5,4.4 and up
Easy Puzzle,PRODUCTIVITY,,2670,7.7M,"100,000+",Free,0,Everyone,Productivity,"August 8, 2016",Varies with device,4.1 and up
Secure Keyboard,LIFESTYLE,4.1,13754,15M,"500,000+",Free,0,Everyone,Lifestyle,"April 10, 2018",1.2.8,4.0.3 and up
Pocket Diet Tracker,ENTERTAINMENT,4.6,57,17M,"5,000+",Free,0,Everyone,Entertainment,"October 27, 2017",7.2.2,5.0 and up
Ultimate Flashlight,HEALTH_AND_FITNESS,4.1,9.0k,20M,"500,000+",Free,0,Everyone,Health & Fitness,"October 12, 2017",Varies with device,4.1 and up
Cool Coloring Book 16,PHOTOGRAPHY,4.6,245,Varies with device,"5,000+",Free,0,Everyone,Photography,"February 9, 2017",Varies with device,Varies with device
Happy Maps 4,LIFESTYLE,4.0,7,54k,500+,Free,0,Mature 17+,Lifestyle,"June 27, 2017",6.12.7,5.0 and up
Happy Recipes,FAMILY,4.3,69,Varies with device,"5,000+",Free,0,Everyone,Casual,"November 6, 2017",5.0.9,4.1 and up
Tiny Maps,SPORTS,4.0,199,3.2M,"5,000+",Paid,$9.99,Everyone,Sports,"August 2, 2017",5.18.9,Varies with device
Magic Chess,ART_AND_DESIGN,4.2,90,52M,"5,000+",Free,0,Everyone,Art & Design,"May 30, 2018",6.10.2,4.1 and up
Easy Wallpapers,HEALTH_AND_FITNESS,4.8,488674,19M,"5,000,000+",Free,0,Mature 17+,Health & Fitness,"July 24, 2017",7.18.1,4.4 and up
Magic VPN,COMMUNICATION,4.3,112,Varies with device,"5,000+",Free,0,Everyone,Communication,"March 29, 2018",7.12.4,4.0.3 and up
Fast Launcher,COMMUNICATION,3.5,4595,9.4M,"100,000+",Free,0,Everyone 10+,Communication,"December 22, 2017",2.17.6,Varies with device
Quick Coloring Book 10,PRODUCTIVITY,3.9,39,15M,"5,000+",Free,0,Everyone,Productivity,"August 7, 2017",4.14.7,4.1 and up
Quick Dictionary,BUSINESS,3.8,195,7.1M,"5,000+",Free,0,Everyone,Business,"April 1, 2018",2.14.4,Varies with device
Smart Dictionary 3,BUSINESS,3.6,3954,Varies with device,"50,000+",Free,0,Everyone 10+,Business,"September 9, 2017",7.5.8,4.0.3 and up
Pocket Keyboard,SOCIAL,4.3,96,Varies with device,"5,000+",Free,0,Everyone,Social,"February 26, 2016",7.17.8,4.4 and up
Tiny Photo Editor,COMMUNICATION,4.1,15685,1.6M,"500,000+",Free,0,Everyone,Communication,"March 17, 2017",Varies with device,4.0.3 and up
Free Notes,EDUCATION,4.3,2779,33M,"100,000+",Free,0,Everyone,Education,"June 14, 2017",2.8.8,5.0 and up
